regionName,countryCode,nameType,parentCode,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,year21,year22,year23,year24,year25,year26,year27,year28,year29,year30
Madagascar,450,Country/Area,910,36.32,38.75,41.17,43.53,45.97,48.08,49.66,49.91,52.66,56.68,60.03,62.23,64.51,66.49,68.21,69.7,70.96,72.05,73.03,73.93,74.8,75.6,76.4,77.17,77.94,78.71,79.45,80.2,80.94,81.66
Malawi,454,Country/Area,910,34.85,35.99,37.38,38.59,41.07,43.25,45.12,45.85,46.14,45.55,45.61,51.31,59.56,63.43,65.62,67.5,69.1,70.45,71.62,72.69,73.68,74.59,75.48,76.34,77.16,77.98,78.79,79.58,80.37,81.14
Mauritius,480,Country/Area,910,50.2,55.75,61.22,62.95,63.53,65.66,68.12,68.52,70.28,70.39,72.09,72.76,74.15,74.76,75.51,76.26,77.01,77.77,78.52,79.29,80.04,80.79,81.54,82.27,82.96,83.6,84.2,84.78,85.33,85.87
Mayotte,175,Country/Area,910,47.26,52.81,57.07,60.71,63.87,66.61,69.02,71.14,73.09,74.86,76.47,77.95,79.34,79.35,79.85,80.84,82.29,83.11,83.83,84.5,85.14,85.75,86.33,86.91,87.48,88.05,88.6,89.14,89.67,90.2
Mozambique,508,Country/Area,910,35,37.99,40.49,40.92,41.91,43.46,43.48,44.35,46.29,47.95,49.88,51.09,54.21,60.05,62.13,64.01,65.68,67.13,68.4,69.54,70.54,71.46,72.31,73.14,73.94,74.73,75.51,76.27,77.02,77.79
Réunion,638,Country/Area,910,47.86,53.44,57.72,61.38,64.59,67.28,69.64,71.74,73.58,75.28,76.83,78.2,79.54,80.03,81.55,82.49,83.29,83.99,84.65,85.29,85.9,86.5,87.09,87.67,88.25,88.82,89.37,89.91,90.47,91.02
Rwanda,646,Country/Area,910,40.15,41.75,43.4,44.49,44.95,46.2,50.27,48.7,21.79,45.09,50.41,60.03,65.79,68.44,70,71.34,72.49,73.55,74.53,75.45,76.31,77.15,77.96,78.74,79.53,80.3,81.07,81.82,82.54,83.24
Seychelles,690,Country/Area,910,61.9,62.94,63.92,65.39,67.35,69.24,70.56,70.77,70.74,70.8,71.56,72.6,73.07,73.29,73.74,74.42,75.32,76.02,76.72,77.41,78.12,78.84,79.58,80.32,81.05,81.78,82.47,83.1,83.71,84.29
Somalia,706,Country/Area,910,33.99,35.99,37.97,39.99,41.91,43.8,45.48,46.38,44.96,49.8,51.49,53.18,54.86,56.94,58.34,59.67,60.93,62.12,63.22,64.2,65.14,66,66.79,67.53,68.24,68.9,69.53,70.14,70.73,71.3
South Sudan,728,Country/Area,910,27.93,30.59,32.73,34.88,36.7,38.68,39.45,41.81,45.32,48.17,50.19,53.28,56.06,57.43,58.74,59.99,61.15,62.23,63.22,64.11,64.95,65.75,66.47,67.16,67.81,68.44,69.03,69.59,70.14,70.69
Uganda,800,Country/Area,910,40.13,42.91,45.8,48.55,49.56,49.8,49.81,47.53,44.52,44.32,49.02,54.41,59.46,62.76,64.38,65.84,67.15,68.33,69.38,70.33,71.21,72.03,72.79,73.54,74.29,75.01,75.73,76.45,77.16,77.89
United Republic of Tanzania,834,Country/Area,910,41.01,42.93,44.22,45.85,47.77,49.81,50.48,50.7,49.67,49.54,52.66,56.29,60.91,64.84,66.39,67.77,69.01,70.1,71.07,71.98,72.82,73.61,74.39,75.13,75.87,76.59,77.32,78.05,78.77,79.5
Zambia,894,Country/Area,910,43.24,45.54,47.68,49.02,51.19,52.5,52.73,51.85,46.36,43.36,46.01,51.75,59.29,63.26,64.7,66,67.18,68.24,69.21,70.1,70.93,71.71,72.48,73.23,73.97,74.69,75.42,76.15,76.88,77.59
Zimbabwe,716,Country/Area,910,49.68,51.86,54.16,56.23,57.45,58.48,60.76,60.65,54.44,46.97,43.74,45.02,56.71,60.83,62.16,63.43,64.62,65.71,66.72,67.66,68.52,69.31,70.06,70.75,71.43,72.09,72.73,73.36,74,74.66
Middle Africa,911,Subregion,947,37.76,39.37,40.91,42.67,44.81,46.31,47.85,48.86,49.26,48.56,50.55,53.88,56.99,59.36,60.83,62.2,63.46,64.61,65.65,66.61,67.48,68.29,69.04,69.74,70.41,71.07,71.68,72.3,72.9,73.5
Angola,24,Country/Area,911,35.85,36.89,38.27,40,41.82,43.52,44.68,45.34,45.24,45.65,48.05,52.69,57.74,60.54,62.22,63.77,65.11,66.31,67.34,68.26,69.08,69.83,70.53,71.18,71.82,72.45,73.04,73.65,74.25,74.87
Cameroon,120,Country/Area,911,38.53,40.62,42.99,45.24,47.85,50.46,52.4,53.67,52.6,50.82,51.78,53.97,56.28,58.77,60.32,61.77,63.09,64.32,65.41,66.41,67.32,68.16,68.94,69.67,70.37,71.03,71.65,72.28,72.92,73.53
Central African Republic,140,Country/Area,911,32.74,35.12,37.45,40.3,44.26,47.95,49.76,49.64,48.12,45.04,44.1,46,48.91,52.67,54.36,55.95,57.42,58.78,60.02,61.12,62.13,63.04,63.87,64.63,65.32,66,66.62,67.21,67.79,68.34
Chad,148,Country/Area,911,36.06,37.36,38.7,40.14,42.56,44.08,45.46,46.73,47.18,47.65,47.95,49.51,52.27,53.8,55.17,56.52,57.83,59.09,60.28,61.43,62.49,63.5,64.42,65.28,66.08,66.82,67.51,68.18,68.82,69.42
Congo,178,Country/Area,911,40.43,44.04,47.21,49.64,51.69,53.4,54.83,55.23,53.72,51.91,53.35,58.18,61.66,64.16,65.21,66.17,67.01,67.8,68.52,69.2,69.86,70.47,71.06,71.65,72.22,72.8,73.39,73.97,74.58,75.17
Democratic Republic of the Congo,180,Country/Area,911,39.06,40.55,41.63,42.99,44.77,45.63,47.13,48.25,49.59,48.89,51.84,55.48,58.1,60.21,61.6,62.89,64.09,65.17,66.15,67.05,67.88,68.63,69.33,69.99,70.61,71.22,71.8,72.37,72.93,73.5
Equatorial Guinea,226,Country/Area,911,33.96,35.68,37.38,39.03,40.68,42.31,45.97,47.7,49.93,52.34,53.99,54.9,56.48,58.25,59.82,61.28,62.6,63.78,64.82,65.74,66.58,67.35,68.05,68.72,69.35,69.98,70.54,71.1,71.64,72.18
Gabon,266,Country/Area,911,36.82,39.04,40.67,45.02,49.2,53.23,57.16,60.55,60.66,59.4,57.62,59.58,63.35,66.06,67.03,67.88,68.66,69.38,70.06,70.71,71.34,71.95,72.58,73.19,73.82,74.44,75.06,75.7,76.33,76.99
Sao Tome and Principe,678,Country/Area,911,46.73,49.03,51.73,54.04,56.7,59.26,60.01,58.69,58.25,59.9,63.06,66.14,68.49,70.05,71.01,71.91,72.75,73.55,74.34,75.11,75.86,76.62,77.38,78.13,78.88,79.63,80.39,81.14,81.86,82.58
Southern Africa,913,Subregion,947,44.61,47.23,49.18,51.24,53.84,56.72,59.23,62.05,62.72,58.21,53.04,54,60.34,63.28,64.62,65.78,66.81,67.72,68.56,69.35,70.07,70.77,71.45,72.13,72.81,73.48,74.14,74.8,75.49,76.19
